filename,class_name,center-x,center-y,normalised_width,normalised_height
4673871.jpg,good,0.1685,0.2125,0.061,0.115
4673871.jpg,good,0.5105,0.3375,0.023,0.045
4673871.jpg,good,0.7045,0.5283333333333333,0.041,0.06
4673871.jpg,good,0.8175,0.2966666666666667,0.051,0.09
4673871.jpg,good,0.588,0.2683333333333333,0.014,0.03
4673871.jpg,good,0.6025,0.2866666666666667,0.011,0.023333333333333334
nyu-coronavirus.jpg,bad,0.1325,0.4654913728432108,0.06,0.11477869467366841
nyu-coronavirus.jpg,bad,0.02825,0.42948237059264815,0.0485,0.07726931732933233
nyu-coronavirus.jpg,bad,0.0925,0.35933983495873967,0.04,0.06301575393848462
nyu-coronavirus.jpg,good,0.3815,0.48424606151537886,0.102,0.16279069767441862
nyu-coronavirus.jpg,good,0.594,0.44711177794448614,0.087,0.14253563390847712
nyu-coronavirus.jpg,bad,0.79075,0.5393848462115529,0.0665,0.10202550637659415
nyu-coronavirus.jpg,bad,0.223,0.3360840210052513,0.033,0.04051012753188297
nyu-coronavirus.jpg,bad,0.43075,0.37134283570892723,0.0325,0.06151537884471118
20371517_web1_200131-RDA-New-coronavirus-has-now-infected-almost-10000-including-three-in-Canada-coronavirus_1.jpg,good,0.7129166666666666,0.378125,0.0675,0.11125
20371517_web1_200131-RDA-New-coronavirus-has-now-infected-almost-10000-including-three-in-Canada-coronavirus_1.jpg,good,0.8854166666666666,0.275625,0.05583333333333333,0.10375
20371517_web1_200131-RDA-New-coronavirus-has-now-infected-almost-10000-including-three-in-Canada-coronavirus_1.jpg,good,0.6441666666666667,0.245,0.06333333333333334,0.1225
20371517_web1_200131-RDA-New-coronavirus-has-now-infected-almost-10000-including-three-in-Canada-coronavirus_1.jpg,good,0.39208333333333334,0.429375,0.059166666666666666,0.08375
20371517_web1_200131-RDA-New-coronavirus-has-now-infected-almost-10000-including-three-in-Canada-coronavirus_1.jpg,good,0.4325,0.341875,0.051666666666666666,0.08625
