filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
6a9947bc-2cff-42d8-a32b-aac46276c512.jpg,151294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":142,""y"":54,""width"":37,""height"":42}","{""name"":""None"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
6a9947bc-2cff-42d8-a32b-aac46276c512.jpg,151294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":214,""y"":25,""width"":36,""height"":41}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
52e07677-32ec-4fb7-8641-ad87e5482ea3.jpg,297189,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":1034,""y"":161,""width"":616,""height"":867}","{""name"":""Bad"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
00140c9b-1600.jpg,844142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":617,""y"":274,""width"":93,""height"":97}","{""name"":""Bad"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
00140c9b-1600.jpg,844142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":844,""y"":270,""width"":79,""height"":89}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":89,""y"":176,""width"":54,""height"":82}","{""name"":""None"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":214,""y"":202,""width"":59,""height"":60}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":370,""y"":153,""width"":51,""height"":61}","{""name"":""None"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":583,""y"":209,""width"":56,""height"":56}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":440,""y"":167,""width"":49,""height"":60}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
800px-People_wear_mask_in_Causeway_Bay_202001.jpg,512814,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":637,""y"":172,""width"":51,""height"":63}","{""name"":""None"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
880dc5e8-db26-437a-9fdd-1b2c7060e68a_16x9_1200x676.jpg,44746,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":780,""y"":235,""width"":178,""height"":242}","{""name"":""Bad"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
200401135727-wlex-face-mask-pkg-1-exlarge-169.jpg,30779,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":334,""y"":69,""width"":132,""height"":160}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
adult-man-wearing-face-mask-260nw-1731892126.jpg,23871,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":146,""y"":54,""width"":120,""height"":185}","{""name"":""Bad"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
AP_20105794713869.jpg,178563,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":178,""y"":55,""width"":49,""height"":70}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
AP_20105794713869.jpg,178563,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":237,""y"":24,""width"":55,""height"":70}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
AP_20105794713869.jpg,178563,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":301,""y"":83,""width"":51,""height"":62}","{""name"":""Good"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
AP_20105794713869.jpg,178563,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":421,""y"":54,""width"":49,""height"":62}","{""name"":""None"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
